Fund Holdings as of,"30/Aug/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"NOVO B","NOVO NORDISK CLASS B","Equity","0.29","102.22","1,264,334.00","129,238,037.95","129,238,037.95","Health Care","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Equity","0.29","1,550.62","83,331.00","129,214,848.47","129,214,848.47","Information Technology","CA82509L1076","Toronto Stock Exchange","Canada","CAD"
"MCD","MCDONALDS CORP","Equity","0.29","236.59","542,572.00","128,367,109.48","128,367,109.48","Consumer Discretionary","US5801351017","New York Stock Exchange Inc.","United States","USD"
"TXN","TEXAS INSTRUMENT INC","Equity","0.29","191.43","658,353.00","126,028,514.79","126,028,514.79","Information Technology","US8825081040","NASDAQ","United States","USD"
"ORCL","ORACLE CORP","Equity","0.28","89.45","1,377,834.00","123,247,251.30","123,247,251.30","Information Technology","US68389X1054","New York Stock Exchange Inc.","United States","USD"
"LIN","LINDE PLC","Equity","0.28","315.55","385,445.00","121,627,169.75","121,627,169.75","Materials","IE00BZ12WP82","New York Stock Exchange Inc.","United States","USD"
"QCOM","QUALCOMM INC","Equity","0.27","145.94","824,690.00","120,355,258.60","120,355,258.60","Information Technology","US7475251036","NASDAQ","United States","USD"
"NEE","NEXTERA ENERGY INC","Equity","0.27","83.95","1,431,813.00","120,200,701.35","120,200,701.35","Utilities","US65339F1012","New York Stock Exchange Inc.","United States","USD"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.27","231.87","511,448.00","118,589,447.76","118,589,447.76","Industrials","US4385161066","NASDAQ","United States","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.26","103.07","1,124,868.00","115,940,144.76","115,940,144.76","Consumer Staples","US7181721090","New York Stock Exchange Inc.","United States","USD"
"USD","USD CASH","Cash","0.26","100.00","115,720,857.00","115,720,856.75","115,720,856.75","Cash and/or Derivatives","-","-","United States","USD"
"INTU","INTUIT INC","Equity","0.26","565.57","198,805.00","112,438,143.85","112,438,143.85","Information Technology","US4612021034","NASDAQ","United States","USD"
"SAP","SAP","Equity","0.25","149.75","748,620.00","112,108,021.99","112,108,021.99","Information Technology","DE0007164600","Xetra","Germany","EUR"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.25","67.21","1,650,278.00","110,915,184.38","110,915,184.38","Health Care","US1101221083","New York Stock Exchange Inc.","United States","USD"
"C","CITIGROUP INC","Equity","0.25","71.67","1,521,585.00","109,051,996.95","109,051,996.95","Financials","US1729674242","New York Stock Exchange Inc.","United States","USD"
"RY","ROYAL BANK OF CANADA","Equity","0.25","104.12","1,045,407.00","108,846,562.73","108,846,562.73","Financials","CA7800871021","Toronto Stock Exchange","Canada","CAD"
